,cluster_id,cluster_terms
0,48,operation united state;standard change;whether result new;unable pas;also comply;supplementary data;statement subject;may also materially;may available may;may additional;required repay;satisfy obligation respect;company pay;fully cover;nominee;global warming;nature scope;well significant;effect global;security breach disruption;stand;occupational safety health;upon availability;result violation;market make;imposition new;statement supplementary data;equity security may;contentsto;market adversely impact;minimum level;upon information;significant economic;adopted new;outlined;related claim;audit committee;believe relationship;expose significant;interruption production;requirement cost;big;presidential;responsible cost;commercial operation;given year;potential inability;potential exposure;operating income;result significant loss;cannot predict certainty;information future;limit ability borrow;portion debt;ability find;cost claim;resource company;right first;prior acquisition;trade policy;cyberattacks;started;certain capital;hold interest;result penalty;market increased;please see;release confidential;law apply;standard regulation;indemnification agreement;type insurance;standard set;condition increased;regulation increased;macro;future year;meet financial obligation;tax fee;refrain;discontinued;secured credit;operation acquired;operate facility;potential increase;persistent;information operation;withdrawing;operation generally;prolonged economic;volatility price;continue receive;also adverse;provides service;predict change;disclosure market risk;agreement adversely;operation risk;quantitative qualitative disclosure;similar legislation;loss recognized;financial result adversely;acquire future;increased number;possible predict;result operation result;cybersecurity incident;may responsible;addition time;potentially subject;employee company;discontinued operation;new tax;future impact;turn affect;position financial;operate successfully;related regulation;certain cost;solicit;file report;may emerge;commodity market;stimulus;strategy involves;report available;contentsin addition;change effective;occupational safety;first second;revenue operating income;natural disaster hurricane;encouraging;regulation change existing
1,12,connection intellectual;hearing motion interim;result hearing motion;amount discovery;public announcement result;required connection intellectual;amount discovery required;motion interim;connection intellectual property;substantial amount discovery;furthermore substantial amount;result hearing;risk confidential;motion interim proceeding;analyst investor perceive;confidential information compromised;investor perceive result;information compromised disclosure;announcement result hearing;compromised disclosure;discovery required connection;discovery required;hearing motion;interim proceeding;proceeding development;interim proceeding development;information compromised;perceive result;risk confidential information;perceive result negative;announcement result;property litigation risk
2,21,loss clinical;approval effort significantly;war telecommunication electrical;disaster terrorism war;information incur liability;operation result material;effort significantly;inappropriate disclosure confidential;cost recover reproduce;computer virus unauthorized;war telecommunication;data application;regulatory approval effort;recover reproduce;implementation security measure;terrorism war telecommunication;proprietary information incur;information incur;implementation security;data application inappropriate;increase cost recover;approval effort;natural disaster terrorism;virus unauthorized;telecommunication electrical;damage data application;result loss damage;loss damage data;extent disruption security;disclosure confidential proprietary;damage data;telecommunication electrical failure;internal computer system;virus unauthorized access;loss damage;application inappropriate;extent disruption;effort significantly increase;disaster terrorism;result material disruption;result delay regulatory;electrical failure;reproduce;reproduce data;recover reproduce data;application inappropriate disclosure;internal computer
3,47,puerto;puerto rico;rico
4,33,indicative future performance;share public;accordingly investor;amount expense;may complete;bar;common stock issuable;ambiguity;combination may;trading day;limited availability;may non;subject adjustment;failure secure;founder;law described;value class;become aware;result management;impact among;selecting;although seek;charge may;irrevocable;chance;security breach system;unable find;risk additional;annual revenue;engage third party;requirement required;well established;day period;stock issuable upon;provide public;provision agreement;one one;result continue;claim challenging;without significant;result tax;may prevented;prof;regulation failure;negatively impact operation;right senior;written agreement;adequately address;difficult maintain;may indicative;industry sector;development stage;may outside;class class;product acquired;issuable upon;reduced level;regulation failure comply;right would;breach system;reasonably possible;divided three;float;compel;carry forward;appoint;information available;material adverse consequence;seek enter;knowing;engage third;requirement rule;increase time;board member;risk negatively;join;law regulation failure;continue maintain;complies;interest earned;accordance section;may lack;may find difficult;provision relating;similar claim;describe;unable adequately;within time period;announce;consideration may;may raise;subject approval;cross border;respect claim;service various;directly applicable;access certain;180
5,98,non affiliate;following fifth anniversary;1point0 billion;billion non convertible;1point0 billion non;last day fiscal;1point07;1point07 billion;deemed large;affiliate exceeds;intend take;remain emerging growth;earliest;day fiscal;date issued;anniversary;following fifth;non convertible;700 million;annual gross;last day;large accelerated filer;total annual;non convertible debt;remain emerging;large accelerated;held non;filer;non affiliate exceeds;day fiscal year;held non affiliate;annual gross revenue;fiscal year following;billion non;gross revenue;deemed large accelerated;stock held non;accelerated filer;total annual gross;fifth anniversary
6,28,developed competitor;post grant review;reexamination;candidate ability;cost timing;successful development;security analyst investor;result significant delay;similar identical;relinquish right;misappropriated;literature;result competitor;prosecute;adequate remedy breach;european medicine agency;grant review;unable raise;research program;complication;sale marketing personnel;infringing product;product covered;surrounding prosecution;company particular experienced;limited resource;smaller early;contractor consultant;terminate employment;approval united state;authority jurisdiction;lead product;related development;counterclaim;invalid unenforceable;propertyif;one clinical trial;unable establish;patent office;smaller early stage;applicable regulatory authority;protection technology;recruiting retaining;process product;intellectual propertyif;process expensive;type litigation;approval united;may curtail;early stage company;narrowed;risk related intellectual;derivation proceeding;license commercially;requirement depend many;scope patent protection;unaware;cause dilution;hearing;commercial activity;remedy breach;medicine agency;adverse result;relinquish right technology;otherwise become;patent owner;exclude;stage company;recruiting retaining qualified;narrowly;right commercialize;protect enforce;difficulty cost;narrow;declaring;consultant advisor;never generate;public announcement;prevent others;may refuse;successful effort;license commercially reasonable;process expensive time;state foreign jurisdiction;unforeseen expense difficulty;restrict operation;abandon development;uncertainty cost;reaching;country outside united;remain profitable;competition seeking;data result;protect product;identical;adequate remedy;obtain patent protection;one clinical;technology licensed;enter arrangement;patentability
7,19,addition rely;quarter quarter year;documented;particularly area;amend repeal;recruit train;resource attention;control stockholder;manage expansion;right common;may able effectively;related regulatory;currently intend;executive employee;expansion operation;source gain;confidence reliability;skill experience;quarter year year;adequacy internal control;formulating;loss confidence;growth development;key person insurance;company similar;addition term;risk involved;result capital appreciation;may call;able effectively manage;person insurance;adequacy internal;currently intend retain
8,6,benefit program;causing presented;executing scheme defraud;payment may made;service payment may;presenting causing presented;federal healthcare program;healthcare benefit program;anti kickback statute;willfully soliciting;healthcare industry;federal false;transmission individually;defraud;significant way;claim law;identifiable health information;kickback statute prohibits;found violation law;law may apply;kickback statute;defraud healthcare;defraud healthcare benefit;imprisonment;government healthcare;healthcare law;hipaa;remuneration directly;service reimbursed;statute prohibits among;operation found violation;federal false claim;executing scheme;soliciting receiving;insurer state;entity knowingly;relating healthcare;federal healthcare;prohibits among;healthcare fraud;healthcare service;claim law may;kickback false claim;kickback false;remuneration;scheme defraud healthcare;claim payment;act amended health;person knowingly;false statement;knowingly willfully soliciting;scheme defraud;healthcare benefit;security transmission;amended health;curtailment restructuring operation;transmission individually identifiable;false fraudulent;curtailment restructuring;privacy security transmission;individually identifiable health;individual entity knowingly;anti kickback false;may apply;information certain;soliciting;security transmission individually;identifiable health;operation found;statute prohibits;federal health insurance;among thing person;knowingly presenting;presenting causing;knowingly presenting causing;penalty damage fine;change healthcare;amended health information;penalty damage;thing person;willfully;prohibits among thing;either referral;knowingly willfully;health information;false claim law;state healthcare;remuneration directly indirectly;entity knowingly presenting
9,43,condition availability;increase difficulty;price per share;price le;future capital need;certain executive;cost le;impact price;also limited;happens;result market;may best interest;offer assurance;term defined;related operating;litigation future;price per;facility future;administrative service;act imposes;stockholder subject;fund new;level expense;result market price;may best
10,57,cease coverage;analyst cease coverage;research report;security industry analyst;trading market;industry analyst;one analyst cease;market common;market common stock;one analyst;analyst cease;price trading;trading volume decline;publish report;analyst publish;trading market common;publish research;analyst publish research;volume decline;industry analyst publish;security industry
11,49,one alternative;elsewhere annual;elsewhere annual report;related transaction;factorsyou carefully;covenant limit ability;senior note due;charge coverage;included elsewhere;provision apply;certain liability;generate cash;qualify tax;tax free;delay prevent acquisition;certain related;required indemnify;indemnification obligation;fixed charge coverage;offer may;factorsyou carefully consider;covenant limit;prevent acquisition;generate cash flow
12,54,upheld;also incur;vulnerable damage;pursuit;addition stock market;therefore subject;eu;comply regulatory requirement;perceive;competent;industry market;large part ability;making difficult;compare;district court;information related;would materially adversely;interpret;damage interruption;subject penalty;market industry;state also;available future;example may;supreme;future law regulation;result failure;member state;federal court;review process;regulation state;perform service;incur increased;failure comply regulatory;may challenge;european commission;recordkeeping;refusal;supreme court;deny;may inadequate;ruled;evaluated;differently;dedicate;may agree;illegal;interaction;comply regulatory;applicable regulatory requirement;broadly;inappropriate;financial management resource;market opportunity;legislative change;obtain insurance;disproportionate;capitalize;result operating;financial management;compete directly;requirement result
13,26,trial conduct;approval regulatory;approved drug;ultimately lead;claim may result;requirement potentially;prescription drug;inability commercialize;complete development;may grant;rare;conducting preclinical;deny approval;able obtain regulatory;labeling marketing;irb;clinical stage;regulatory submission;conduct post;candidate delayed;good clinical practice;third party conduct;marketing approval may;expensive process;candidate future;pathway;outcome liability claim;ongoing planned;product candidate future;terminated may;approval successfully;standard care;reimbursement available;must conducted;patient enrollment;planned clinical;collaboration may;medicine;clinical protocol;program product;sufficient support;vary significantly among;even believe;trial must;uncertain outcome;many year complete;unreliable;jeopardize ability;acceptance product candidate;later discovery;fda comparable;commercial supply;application supplement approved;dropping;condition approval;clinically;manufacturer manufacturing;planned clinical trial;enrolling;product candidate delayed;predictive;marketing information report;trial design;clinical practice;comparable foreign regulatory;marketing approval product;adequate reimbursement;clinical trial conduct;biological product;potential advantage;surveillance monitor;successfully carry;party conduct;develop obtain regulatory;guide;enroll;term prospective;expected deadline;development timeline;surveillance monitor safety;periodic inspection;conducted accordance applicable;reliance third party;sale marketing arrangement;concludes;fda comparable foreign;additional preclinical study;authority determine;delay regulatory;public private equity;post marketing information;supplement approved application;monetary award;data clinical trial;potentially costly;clinical trial data;outcome liability;reimbursement may;discovery previously unknown;significantly among;achieving maintaining;caused product;completing clinical;enrolled;prevalence;substantial discretion;eventual outcome liability;reliance third;trial clinical
14,44,furthermore even;available capacity;certain future;purchaser common;impact trading;level operating;right obligation;statement result;term le favorable;level related;omnibus;new modified;one hand;disaster act;protect risk;person owns;program reduce;impose strict;also contains;interest interest;merger sale;jurisdiction conduct;term le;operation limit;sale exchange;control operation;investing common;returned;purpose determining;refined;single class;economic condition financial;credit facility also;make interest;capital operating expenditure;attributed;positive negative;customer operation;tax gain;may incur future;number additional;person acquired;incur future;unlimited;make cash distribution;financial operating performance;impairment long;new geographic;situated;ability obtain future;impact trading price;permitting requirement;processing plant
15,51,epidemic;spread;january 2020;2021;outbreak;predicted certainty;coronavirus;pandemic;2020;travel;cybersecurity;cannot predicted;predicted;shutdown
16,85,collection disclosure;data subject;private right action;united kingdom european;certain data;information personal information;eea;kingdom european;effect january;transfer personal data;union eu;process personal;switzerland;referendum;economic area;private right;breach notification;opt certain;transfer personal;brexit;effect january 2020;european union eu;information personal;privacy right;data transfer
17,1,applicable law may;criminal administrative;provider physician;comply current future;soliciting offering;tam action;profit future earnings;payors private;may comply;obligation pay money;comply current;future statute regulation;non governmental;law involving;authority conclude;administrative penalty;possible governmental;diminished profit future;qui tam action;claim involving;qui;exclusion government;authority conclude practice;future statute;reward;regulation may apply;criminal civil liability;company provide;constrain;cash kind;pay money federal;referral individual purchase;constrain financial;money federal;party payors private;provider entity;imposes criminal;market sell distribute;involve substantial;regulation expose;future arrangement;cash kind induce;contractual term;individual purchase;kind induce;involve substantial cost;cover cost;administrative penalty damage;law governmental regulation;civil liability;broadly applicable;governmental regulation may;order recommendation;regulation case;current future statute
