,Topic,Words,Frequency,Timestamp
0,-1,"financial, products, operations, company, results",82,2007-01-01
1,0,"products, customers, results, sales, software",25,2007-01-01
2,1,"clinical, product, candidates, drug, trials",14,2007-01-01
3,2,"loans, bank, loan, financial, interest",20,2007-01-01
4,3,"smaller reporting, statements, smaller, reporting company, report",2,2007-01-01
5,4,"gas, oil, natural gas, natural, oil natural",7,2007-01-01
6,5,"properties, reit, tenants, property, income",9,2007-01-01
7,6,"investment, investments, portfolio, securities, income",5,2007-01-01
8,7,"carmax, vehicle, vehicles, sales, carmaxs",5,2007-01-01
9,8,"buy fiscal, contentspart i4item, i4item 4item, fiscal form, i4item",1,2007-01-01
10,9,"enable, vitas, cash, operations, gas",6,2007-01-01
11,11,"hotel, hotels, properties, reit, franchise",3,2007-01-01
12,12,"healthcare, health, solutions, nrc health, services",3,2007-01-01
13,16,"insurance, mortgage insurance, financial guaranty, mortgage, reinsurance",1,2007-01-01
14,17,"met coal, coal, mining, met, mineral",1,2007-01-01
15,18,"tds, wireless, spectrum, fcc, services",3,2007-01-01
16,19,"factorsinformation, pages, factors21cautionary, factors21cautionary affect, factorsinformation companys",4,2007-01-01
17,20,"president, clients, vice, vice president, cognizant",1,2007-01-01
18,21,"video, programming, services, service, cable",2,2007-01-01
19,22,"semiconductor, customers, products, manufacturing, semiconductor industry",2,2007-01-01
20,23,"freight, fuel, carriers, transportation, drivers",5,2007-01-01
21,25,"government, contracts, contract, government contracts, uas",7,2007-01-01
22,29,"gold, custodian, trust, trustee, trusts gold",1,2007-01-01
23,31,"television, programming, stations, performers, mcmahon",2,2007-01-01
24,32,"aircraft, airline, government, contracts, parts",2,2007-01-01
25,33,"water, wastewater, water wastewater, lowry, lowry range",3,2007-01-01
26,34,"peoples united, peoples, united financial, dnb, stop shop",1,2007-01-01
27,35,"ncm, ncm llc, founding, llc, founding members",1,2007-01-01
28,37,"insurance, reinsurance, rli, rli ins, losses",1,2007-01-01
29,39,", , , , ",2,2007-01-01
30,40,"ppg, materials, raw, coatings, raw materials",1,2007-01-01
31,42,"uso, futures, uscf, oil futures, oil",1,2007-01-01
32,43,"lumber, treated lumber, lumber market, treated, lumber products",1,2007-01-01
33,44,"solar, modules, solar modules, photovoltaic, energy",1,2007-01-01
34,45,"avocados, avocado, calavo, fresh, fruit",1,2007-01-01
35,46,"aircraft, companys, ethanol, fuel, airtran",3,2007-01-01
36,47,"title insurance, title, fis, remy, investment",1,2007-01-01
37,48,"value line, line, eam, value, line investment",1,2007-01-01
38,50,"semiconductor, customers, products, wafer, packaging",4,2007-01-01
39,51,"refined, refineries, refined products, crude, crude oil",1,2007-01-01
40,54,"paper, piumpf, 2021 senior, pulp, fine paper",1,2007-01-01
41,55,"mge, energy, electric, power, mge energy",1,2007-01-01
42,56,"chemical, operations, raw, principal stockholder, stockholder affiliates",1,2007-01-01
43,57,"products, food, snack, foods, brands",3,2007-01-01
44,59,"game, games, video game, titles, video",3,2007-01-01
45,61,"company, watches, jewelry, watch, smart",1,2007-01-01
46,63,"homes, homebuilding, mortgage, land, home",2,2007-01-01
47,64,"fuel cell, power, fuel, nep, energy",1,2007-01-01
48,65,"evercore, lp, clients, advisory, evercore lp",2,2007-01-01
49,66,"cruise, ships, cruises, vacation, guests",1,2007-01-01
50,67,"equipment, rental, construction, credit, rental fleet",2,2007-01-01
51,73,"government, aerospace, aircraft, discussion, statements",1,2007-01-01
52,75,"home, financial position, position, operations financial, products",2,2007-01-01
53,77,"vistaprint, websites, united states, united, states",2,2007-01-01
54,78,"certain scaled, elected comply, scaled disclosure, therefore provide, obligations therefore",1,2007-01-01
55,79,"filings exchange, act part, report described, company filings, described company",1,2007-01-01
56,83,"kaplan, title iv, ed, iv, title",1,2007-01-01
57,84,"products, animal, veterinary, product, veterinarians",1,2007-01-01
58,85,"mortgage, insurance, mgic, mortgage insurance, gses",2,2007-01-01
59,89,"pharmacy, pharmaceutical, health, generic, products",2,2007-01-01
60,90,"financial measures, report form, annual report, details derivation, detail 3table",1,2007-01-01
61,92,"electronic trading, trading, trading platform, electronic, platform",1,2007-01-01
62,94,"grainger, pet, stock class, graingers, class common",2,2007-01-01
63,95,"oem suppliers, oem, mitac, operating results, operating",1,2007-01-01
64,97,"statements made, report relate, statements, contentspagepart, relate events",1,2007-01-01
65,99,"kcs, rail, railroads, railroad, mexican",3,2007-01-01
66,102,"window, doors, windows, impact resistant, newsouth",1,2007-01-01
67,103,"tobacco, leaf, leaf tobacco, tobacco products, farmers",1,2007-01-01
68,104,"cequent, cequent businesses, spin, businesses, material",1,2007-01-01
69,108,"florida, real, real estate, estate, northwest florida",1,2007-01-01
70,109,"boat, marine, sea ray, brunswick, dealers",1,2007-01-01
71,112,"company, company financial, affect company, company ability, company common",1,2007-01-01
72,113,"products, spine, scientx, share purchase, tissue",1,2007-01-01
73,118,"mortgage insurance, mortgage, insurance, care insurance, term care",1,2007-01-01
74,119,"fuel, aviation, customers, aviation marine, marine land",1,2007-01-01
75,120,"railcar, railcars, portland, backlog, abilityto",1,2007-01-01
76,126,"leases, term note, self storage, note securitizations, cp",1,2007-01-01
77,131,"southern, traditional operating, operating companies, traditional, southern company",1,2007-01-01
78,133,"beryllium, products, cts, sales, customers",1,2007-01-01
79,134,"steel, iron ore, ore, iron, merger",2,2007-01-01
80,136,"fpl, fpl group, group fpl, group, duke",1,2007-01-01
81,-1,"company, financial, operations, products, results",123,2008-01-01
82,0,"products, customers, software, sales, results",33,2008-01-01
83,1,"clinical, product, candidates, drug, trials",21,2008-01-01
84,2,"bank, loans, loan, financial, capital",20,2008-01-01
85,3,"smaller reporting, smaller, statements, reporting company, reporting",6,2008-01-01
86,4,"gas, oil, natural gas, natural, oil natural",14,2008-01-01
87,5,"properties, reit, tenants, real, real estate",12,2008-01-01
88,6,"investment, investments, securities, portfolio, income",8,2008-01-01
