,Topic,Words,Frequency,Timestamp
0,-1,"products, financial, operations, results, us",105,2007-01-01
1,0,"financial, us, products, operations, results",164,2007-01-01
2,2,"statements, report, annual report, annual, date",5,2007-01-01
3,4,"tobacco, leaf, leaf tobacco, farmers, operations",1,2007-01-01
4,5,"ncm, ncm llc, llc, founding, founding members",1,2007-01-01
5,6,", , , , ",2,2007-01-01
6,7,"title iv, education, programs, students, iv",3,2007-01-01
7,10,"avocados, growers, avocado, calavo, seed",1,2007-01-01
8,12,"southern, traditional operating, traditional, operating companies, power",1,2007-01-01
9,14,"coal, met coal, mining, met, operations",1,2007-01-01
10,20,"hilfiger, jewelry, tommy hilfiger, moissanite, klein",1,2007-01-01
11,21,"water, wastewater, lowry, district, lowry range",2,2007-01-01
12,23,"filings exchange, act part, report described, company filings, described company",1,2007-01-01
13,24,"factorsinformation found, found report, factorsinformation, report caption, caption",1,2007-01-01
14,25,"poultry, feed, chicken, feed ingredients, poultry industry",1,2007-01-01
15,29,"dealership, dealerships, manufacturers, vehicle, rush",1,2007-01-01
16,30,"certain scaled, scaled disclosure, elected comply, obligations therefore, 12b exchange",1,2007-01-01
17,-1,"financial, products, operations, results, us",142,2008-01-01
18,0,"financial, us, operations, company, market",226,2008-01-01
19,1,"smaller reporting, factorsnot, reporting company, smaller, reporting",2,2008-01-01
20,2,"statements, report, annual report, annual, date",5,2008-01-01
21,3,"rule 12b, 12b, 12b exchange, defined rule, provide information",1,2008-01-01
22,4,"craft, craft brands, brands, sales, beer",1,2008-01-01
23,5,"theatre, hotels resorts, film, movie, hotels",1,2008-01-01
24,6,", , , , ",2,2008-01-01
25,7,"vitas, hospice, care, programs, title iv",1,2008-01-01
26,8,"living, senior living, snh, communities, medicare",1,2008-01-01
27,9,"relating business44risks, factors43risks, factors43risks relating, relating industry62, industry62",3,2008-01-01
28,10,"seed, products, vegetable, vegetables, fruit",2,2008-01-01
29,12,"southern, traditional operating, southern company, traditional, power",2,2008-01-01
30,13,"advisors, clients, advisors clients, service, financial",1,2008-01-01
31,15,"charter, cable, services, programming, service",1,2008-01-01
32,16,"revise result, update revise, otherwise 4table, events otherwise, report place",1,2008-01-01
33,17,"cruise, ships, cruises, guests, carnival",1,2008-01-01
34,20,"jewelry, moissanite, finished jewelry, jewels, moissanite jewels",2,2008-01-01
35,22,"companys, footwear, company, golf, apparel",1,2008-01-01
36,29,"dealership, rush, dealership agreements, peterbilt, marvin",2,2008-01-01
37,30,"smaller reporting, reporting company, certain scaled, scaled disclosure, elected comply",1,2008-01-01
38,-1,"financial, products, operations, results, us",157,2009-01-01
39,0,"financial, us, operations, market, company",267,2009-01-01
40,1,"smaller reporting, smaller, provide information, required provide, reporting company",13,2009-01-01
41,2,"statements, report, cim, contentspagepart, update",4,2009-01-01
42,3,"rule 12b, 12b, defined rule, 12b exchange, provide information",3,2009-01-01
43,4,"companys, company, beer, breweries, hops",1,2009-01-01
44,5,"cinema, theatre, film, films, ncm",2,2009-01-01
45,7,"education, title iv, students, programs, iv",1,2009-01-01
46,8,"tenants, medicare, medicaid, living, healthcare",2,2009-01-01
47,9,"factors18forward, factors18forward statements30, statements30, relating business44risks, industry62",1,2009-01-01
48,10,"avocados, seed, products, food, growers",3,2009-01-01
49,11,"hpt, fuel, travel, travel centers, rmr",4,2009-01-01
50,12,"southern, southern company, traditional operating, traditional, power",1,2009-01-01
51,13,"advisors, financial, lpl, clients, lpl financial",1,2009-01-01
52,14,"coal, coke, mining, cokemaking, operations",1,2009-01-01
53,18,"stock, feedstock, preferred, preferred stock, oil",1,2009-01-01
54,19,"iac, search, ticketmaster, websites, interval",2,2009-01-01
55,21,"water, rangeview, rangeview district, lowry, wastewater",2,2009-01-01
56,23,"filings exchange, act part, report described, company filings, described company",2,2009-01-01
57,28,"applicable registrant, factorsnot applicable, factorsnot, registrant, applicable",1,2009-01-01
58,30,"certain scaled, scaled disclosure, elected comply, obligations therefore, 12b exchange",1,2009-01-01
59,-1,"financial, products, operations, results, us",160,2010-01-01
60,0,"financial, us, operations, products, market",272,2010-01-01
61,1,"smaller reporting, smaller, reporting company, reporting, provide information",7,2010-01-01
62,2,"statements, report, form, annual report, annual",5,2010-01-01
63,3,"rule 12b, 12b, defined rule, 12b exchange, provide information",2,2010-01-01
64,5,"ncm, cotter, founding, cinema, ncm llc",2,2010-01-01
65,6,", , , , ",2,2010-01-01
66,7,"title iv, students, iv, programs, title",3,2010-01-01
67,8,"communities, living, senior living, us, merger",1,2010-01-01
68,11,"hpt, fuel, travel, travel centers, rmr",1,2010-01-01
69,13,"advisors, clients, advisors clients, service, financial",1,2010-01-01
70,14,"coal, mining, operations, coal supply, us",2,2010-01-01
71,15,"charter, twc, bright house, bright, transaction",1,2010-01-01
72,16,"revise result, business7item, iitem business7item, 5table contentstable, update revise",1,2010-01-01
73,18,"stock, feedstock, preferred, preferred stock, oil",1,2010-01-01
74,19,"iac, search, ticketmaster, interval, websites",4,2010-01-01
75,20,"jewelry, moissanite, jewels, moissanite jewels, finished jewelry",1,2010-01-01
76,22,"golf, companys, company, products, golf ball",1,2010-01-01
77,24,"report pages, found report, pages, information incorporated, financial review",1,2010-01-01
78,25,"poultry, chicken, feed, products, feed ingredients",1,2010-01-01
79,27,"inventory, assets inventory, engagements, appraisal, valuation",1,2010-01-01
80,29,"dealership, rush, dealership agreements, peterbilt, dealerships",1,2010-01-01
81,31,"cautionary regarding, regarding statementspages, capital structure34, factors11general, factors11general risks",3,2010-01-01
82,-1,"financial, products, operations, results, us",190,2011-01-01
83,0,"financial, us, operations, market, company",297,2011-01-01
84,1,"smaller reporting, smaller, reporting company, reporting, required",16,2011-01-01
85,2,"statements, report, annual report, annual, form",7,2011-01-01
86,3,"rule 12b, 12b, factorswe smaller, 12b exchange, defined rule",1,2011-01-01
87,4,"wine, alcohol, companys, brands, beverage",1,2011-01-01
88,5,"imax, theater, companys, film, films",2,2011-01-01
89,6,", , , , ",2,2011-01-01
90,7,"title iv, students, education, programs, iv",2,2011-01-01
91,8,"living, snh, communities, senior living, medicare",1,2011-01-01
92,9,"relating business44risks, industry62, factors43risks relating, relating industry62, factors43risks",3,2011-01-01
93,10,"seed, alfalfa, alfalfa seed, sgi, stevia",1,2011-01-01
94,11,"fuel, hpt, travel, rmr, travel centers",2,2011-01-01
95,12,"southern, traditional operating, southern company, power, traditional",2,2011-01-01
96,14,"coal, mining, operations, coal supply, us",1,2011-01-01
97,16,"revise result, contentspart 4item, 4item business4item, important furthermore, law 2table",2,2011-01-01
98,17,"cruise, ships, cruises, guests, ship",1,2011-01-01
99,20,"jewelry, moissanite, jewels, finished jewelry, moissanite jewels",1,2011-01-01
100,21,"water, lowry, lowry range, district, wastewater",1,2011-01-01
101,24,"report pages, pages, information incorporated, report, factorsinformation response",2,2011-01-01
102,25,"poultry, chicken, feed, feed ingredients, poultry industry",1,2011-01-01
103,27,"hc, hc realty, realty, stock, asset sale",1,2011-01-01
104,29,"rush, dealership, dealership agreements, peterbilt, marvin",1,2011-01-01
105,30,"certain scaled, scaled disclosure, elected comply, obligations therefore, 12b exchange",1,2011-01-01
106,-1,"financial, products, operations, results, us",167,2012-01-01
107,0,"financial, us, operations, company, market",306,2012-01-01
108,1,"smaller reporting, smaller, reporting company, provide information, required provide",10,2012-01-01
